Time;Time2;Force;CoM vertical velocity;VL;SOL;VL_Smoothed Y1;SOL_Smoothed Y2;CoM vertical position;CoM vertical position2;_1;_2
s;%;N;ms-1;V;V;;;cm;mm;;
;"Normalize to [0-100] of ""Time""";;"Divided by 71.82825 on ""CoM velocity""";;;"50 pts SG smooth of ""VL""";"50 pts SG smooth of ""SOL""";Integrate of CoM velocity x=(0100) Area = 9.93124;"Multiply 10 on ""Integrated Y1""";;
2.911;82.1714285714286;725.544885;1.33962890115713;0.23468;0.313873;2,64164E+14;0.293864113944506;-28.349627619969;-283.49627619969;;
2.912;82.2857142857143;727.364885;1.34974267815995;0.469666;0.448303;2,57475E+14;0.305891346173549;-28.195949244008;-281.95949244008;;
2.913;82.4;728.754885;1.35987880013204;0.519104;0.337372;2,5495E+14;0.316362941703232;-28.0411137309628;-280.411137309628;;
2.914;82.5142857142857;730.294885;1.37003531797953;0.11261;0.105133;2,62927E+14;0.331078501271965;-27.8851186384992;-278.851186384992;;
2.915;82.6285714285714;732.584885;1.38021849664706;0.0894165;0.276337;2,6105E+14;0.333999248850846;-27.7279612776634;-277.279612776634;;
2.916;82.7428571428571;733.774885;1.39042589976727;0.0611877;0.114136;2,42595E+14;0.345501461494847;-27.5696387407255;-275.696387407255;;
2.917;82.8571428571428;735.464885;1.40065335071038;0.225525;0.522003;2,42508E+14;0.34310179733439;-27.4101484978411;-274.10148497841;;
2.918;82.9714285714286;736.534885;1.41090001415045;0.78598;0.452728;2,56319E+14;0.332550531877415;-27.2494883055632;-272.494883055632;;
2.919;83.0857142857143;739.254885;1.42117305996858;0.792542;0.189667;2,73306E+14;0.324272649812136;-27.0876555584707;-270.876555584707;;
2.92;83.2;742.034885;1.43148439155962;0.405731;0.54718;2,78205E+14;0.324834270919296;-26.9246465612406;-269.246465612406;;
2.921;83.3142857142857;742.814885;1.44182050448731;0.0151062;0.200043;2,7902E+14;0.335256892623525;-26.7604577100379;-267.604577100379;;
2.922;83.4285714285714;744.414885;1.4521731847131;0.255127;0.214081;2,83239E+14;0.340263223305533;-26.5950866420835;-265.950866420835;;
2.923;83.5428571428571;746.924885;1.46255447485282;0.313721;0.703583;2,76535E+14;0.345088133284015;-26.4285307758227;-264.285307758227;;
2.924;83.6571428571428;748.494885;1.472964166075;0.372314;0.759888;2,70467E+14;0.337058256672994;-26.2607868534839;-262.607868534839;;
2.925;83.7714285714285;750.954885;1.48340191032714;0.576019;0.579071;2,71642E+14;0.32971070170595;-26.0918516491181;-260.918516491181;;
2.926;83.8857142857143;752.714885;1.49386903020869;0.412903;0.123596;2,72414E+13;0.327545707520805;-25.9217218810874;-259.217218810874;;
2.927;84;754.764885;1.50436267168928;0.254059;0.179291;2,81474E+14;0.330623765213618;-25.7503943552647;-257.503943552647;;
2.928;84.1142857142857;757.314885;1.51488833399813;0.088501;0.22995;2,95203E+14;0.337998949784955;-25.5778657263683;-255.778657263683;;
2.929;84.2285714285714;759.634885;1.52544789661863;0.119934;0.0585938;2,97155E+13;0.335973416110353;-25.4041322274759;-254.041322274759;;
2.93;84.3428571428572;761.384885;1.53603579071109;0.20813;0.113983;2,97113E+14;0.330316858955265;-25.2291903024856;-252.291903024856;;
